,Age in 5-year groups,Type of place of residence,Number of household members,Source of drinking water,Has electricity,Type of toilet facility,Has radio,Time to get to water source (minutes),Age of head of household,under-5 mortality
369,30-34,rural,,unprotected spring,,no facility/bush/field,yes,,,0.20512820512820512
370,30-34,rural,,unprotected spring,,no facility/bush/field,,,,0.19852941176470587
371,30-34,rural,,unprotected spring,no,pit latrine with slab,,,,0.12121212121212122
372,30-34,rural,,unprotected spring,no,pit latrine with slab,yes,,,0.11267605633802817
373,30-34,rural,,unprotected spring,,pit latrine with slab,,,,0.12121212121212122
374,30-34,rural,,unprotected spring,,pit latrine with slab,yes,,,0.11267605633802817
375,30-34,rural,,unprotected spring,no,ventilated improved pit latrine (vip),,,,0.2028985507246377
376,30-34,rural,,unprotected spring,no,ventilated improved pit latrine (vip),yes,,,0.18518518518518517
377,30-34,rural,,unprotected spring,,ventilated improved pit latrine (vip),,,,0.2028985507246377
378,30-34,rural,,unprotected spring,,ventilated improved pit latrine (vip),yes,,,0.18518518518518517
379,30-34,rural,,unprotected spring,no,,no,,,0.17479674796747968
380,30-34,rural,,unprotected spring,no,,yes,,,0.15
381,30-34,rural,,unprotected spring,no,,yes,,45.0,0.17647058823529413
382,30-34,rural,,unprotected spring,no,,,,,0.16205533596837945
383,30-34,rural,,unprotected spring,no,,,,45.0,0.20588235294117646
384,30-34,rural,,unprotected spring,no,,,,35.0,0.15517241379310345
385,30-34,rural,,unprotected spring,no,,,,40.0,0.04081632653061224
386,30-34,rural,,unprotected spring,,,no,,,0.17479674796747968
387,30-34,rural,,unprotected spring,,,yes,,,0.15
388,30-34,rural,,unprotected spring,,,yes,,45.0,0.17647058823529413
389,30-34,rural,,unprotected spring,,,,,,0.16205533596837945
390,30-34,rural,,unprotected spring,,,,,45.0,0.20588235294117646
391,30-34,rural,,unprotected spring,,,,,35.0,0.15517241379310345
392,30-34,rural,,unprotected spring,,,,,40.0,0.04081632653061224
393,30-34,rural,,unprotected spring,no,,,10.0,,0.10144927536231885
394,30-34,rural,,unprotected spring,,,,10.0,,0.10144927536231885
395,30-34,rural,,unprotected spring,no,,,15.0,,0.13636363636363635
396,30-34,rural,,unprotected spring,,,,15.0,,0.13636363636363635
397,30-34,rural,,unprotected spring,no,pit latrine without slab/open pit,,30.0,,0.10909090909090909
398,30-34,rural,,unprotected spring,,pit latrine without slab/open pit,,30.0,,0.10909090909090909
399,30-34,rural,,unprotected spring,no,,no,30.0,,0.15714285714285714
400,30-34,rural,,unprotected spring,no,,yes,30.0,,0.1527777777777778
401,30-34,rural,,unprotected spring,no,,,30.0,,0.15492957746478872
402,30-34,rural,,unprotected spring,,,no,30.0,,0.15714285714285714
403,30-34,rural,,unprotected spring,,,yes,30.0,,0.1527777777777778
404,30-34,rural,,unprotected spring,,,,30.0,,0.15492957746478872
405,30-34,rural,,tube well or borehole,no,pit latrine without slab/open pit,,,,0.20394736842105263
406,30-34,rural,,tube well or borehole,no,pit latrine without slab/open pit,yes,,,0.19469026548672566
407,30-34,rural,,tube well or borehole,,pit latrine without slab/open pit,,,,0.20394736842105263
408,30-34,rural,,tube well or borehole,,pit latrine without slab/open pit,yes,,,0.19469026548672566
409,30-34,rural,,tube well or borehole,no,no facility/bush/field,no,,,0.14925373134328357
410,30-34,rural,,tube well or borehole,no,no facility/bush/field,yes,,,0.171875
411,30-34,rural,,tube well or borehole,no,no facility/bush/field,,,,0.16030534351145037
412,30-34,rural,,tube well or borehole,,no facility/bush/field,no,,,0.14925373134328357
413,30-34,rural,,tube well or borehole,,no facility/bush/field,yes,,,0.171875
414,30-34,rural,,tube well or borehole,,no facility/bush/field,,,,0.16030534351145037
415,30-34,rural,,tube well or borehole,no,pit latrine with slab,no,,,0.3142857142857143
416,30-34,rural,,tube well or borehole,no,pit latrine with slab,yes,,,0.14285714285714285
417,30-34,rural,,tube well or borehole,no,pit latrine with slab,,,,0.2087912087912088
418,30-34,rural,,tube well or borehole,,pit latrine with slab,no,,,0.3142857142857143
419,30-34,rural,,tube well or borehole,,pit latrine with slab,yes,,,0.14285714285714285
420,30-34,rural,,tube well or borehole,,pit latrine with slab,,,,0.2087912087912088
421,30-34,rural,,tube well or borehole,no,,no,,,0.22815533980582525
422,30-34,rural,,tube well or borehole,no,,yes,,,0.16025641025641027
423,30-34,rural,,tube well or borehole,no,,,,,0.18725868725868725
424,30-34,rural,,tube well or borehole,no,,,,40.0,0.1935483870967742
425,30-34,rural,,tube well or borehole,no,,,,30.0,0.08888888888888889
426,30-34,rural,,tube well or borehole,,,no,,,0.22815533980582525
427,30-34,rural,,tube well or borehole,,,yes,,,0.16025641025641027
428,30-34,rural,,tube well or borehole,,,,,,0.18725868725868725
429,30-34,rural,,tube well or borehole,,,,,40.0,0.1935483870967742
430,30-34,rural,,tube well or borehole,,,,,30.0,0.08888888888888889
431,30-34,rural,,tube well or borehole,no,,no,10.0,,0.21052631578947367
432,30-34,rural,,tube well or borehole,no,,,10.0,,0.1875
433,30-34,rural,,tube well or borehole,,,no,10.0,,0.21052631578947367
434,30-34,rural,,tube well or borehole,,,,10.0,,0.1875
435,30-34,rural,,tube well or borehole,no,,,15.0,,0.16666666666666666
436,30-34,rural,,tube well or borehole,no,,yes,15.0,,0.15942028985507245
437,30-34,rural,,tube well or borehole,,,,15.0,,0.16666666666666666
438,30-34,rural,,tube well or borehole,,,yes,15.0,,0.15942028985507245
439,30-34,rural,,tube well or borehole,no,,,5.0,,0.24074074074074073
440,30-34,rural,,tube well or borehole,,,,5.0,,0.24074074074074073
441,30-34,rural,,protected well,no,,,20.0,,0.1917808219178082
442,30-34,rural,,protected well,no,,yes,20.0,,0.23684210526315788
443,30-34,rural,,protected well,,,,20.0,,0.1917808219178082
444,30-34,rural,,protected well,,,yes,20.0,,0.23684210526315788
445,30-34,rural,,protected well,no,pit latrine without slab/open pit,no,,,0.14492753623188406
446,30-34,rural,,protected well,no,pit latrine without slab/open pit,yes,,,0.17796610169491525
447,30-34,rural,,protected well,no,pit latrine without slab/open pit,,,,0.1657754010695187
448,30-34,rural,,protected well,,pit latrine without slab/open pit,no,,,0.14492753623188406
449,30-34,rural,,protected well,,pit latrine without slab/open pit,yes,,,0.17796610169491525
450,30-34,rural,,protected well,,pit latrine without slab/open pit,,,,0.1657754010695187
451,30-34,rural,,protected well,no,no facility/bush/field,no,,,0.2545454545454545
452,30-34,rural,,protected well,no,no facility/bush/field,,,,0.19767441860465115
453,30-34,rural,,protected well,,no facility/bush/field,no,,,0.2545454545454545
454,30-34,rural,,protected well,,no facility/bush/field,,,,0.19767441860465115
455,30-34,rural,,protected well,no,,no,,,0.18452380952380953
456,30-34,rural,,protected well,no,,yes,,,0.15331010452961671
457,30-34,rural,,protected well,no,,,,,0.16483516483516483
458,30-34,rural,,protected well,no,,,,35.0,0.12698412698412698
459,30-34,rural,,protected well,,,no,,,0.18452380952380953
460,30-34,rural,,protected well,,,yes,,,0.15254237288135594
461,30-34,rural,,protected well,,,,,,0.16414686825053995
462,30-34,rural,,protected well,,,,,35.0,0.12698412698412698
463,30-34,rural,,protected well,no,ventilated improved pit latrine (vip),,,,0.1437908496732026
464,30-34,rural,,protected well,no,ventilated improved pit latrine (vip),yes,,,0.1440677966101695
465,30-34,rural,,protected well,,ventilated improved pit latrine (vip),,,,0.14285714285714285
466,30-34,rural,,protected well,,ventilated improved pit latrine (vip),yes,,,0.14285714285714285
467,30-34,rural,,protected well,no,,,10.0,,0.23684210526315788
468,30-34,rural,,protected well,no,,yes,10.0,,0.22727272727272727
469,30-34,rural,,protected well,,,,10.0,,0.23684210526315788
470,30-34,rural,,protected well,,,yes,10.0,,0.22727272727272727
471,30-34,rural,,protected well,no,,,15.0,,0.08333333333333333
472,30-34,rural,,protected well,,,,15.0,,0.07547169811320754
473,30-34,rural,,protected well,,,yes,15.0,,0.09090909090909091
474,30-34,rural,,protected well,no,,,5.0,,0.175
475,30-34,rural,,protected well,,,,5.0,,0.175
476,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,20.0,,0.25
477,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,20.0,,0.25
478,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,20.0,,0.10526315789473684
479,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,20.0,,0.10526315789473684
480,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,20.0,,0.15873015873015872
481,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,20.0,,0.2
482,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,20.0,,0.17592592592592593
483,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,20.0,,0.15873015873015872
484,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,20.0,,0.2
485,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,20.0,,0.17592592592592593
486,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,no,,,0.19230769230769232
487,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,yes,,,0.21739130434782608
488,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,,0.20588235294117646
489,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,45.0,0.20512820512820512
490,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,,40.0,0.20833333333333334
491,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,no,,,0.189873417721519
492,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,yes,,,0.21739130434782608
493,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,,0.2046783625730994
494,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,45.0,0.20512820512820512
495,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,,40.0,0.20833333333333334
496,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,no,,,0.19393939393939394
497,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,yes,,,0.16546762589928057
498,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,no facility/bush/field,,,,0.18092105263157895
499,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,no,,,0.19393939393939394
500,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,yes,,,0.16546762589928057
501,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,no facility/bush/field,,,,0.18092105263157895
502,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine with slab,,,,0.12121212121212122
503,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine with slab,yes,,,0.15
504,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine with slab,,,,0.12121212121212122
505,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine with slab,yes,,,0.15
506,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,ventilated improved pit latrine (vip),,,,0.19047619047619047
507,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,ventilated improved pit latrine (vip),,,,0.19047619047619047
508,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,,,0.18276762402088773
509,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,,0.19746835443037974
510,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,,40.0,0.20454545454545456
511,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,,0.19023136246786632
512,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,45.0,0.20754716981132076
513,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,35.0,0.16129032258064516
514,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,40.0,0.19767441860465115
515,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,38.0,0.1864406779661017
516,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,,33.0,0.15384615384615385
517,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,,,0.18181818181818182
518,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,,0.19746835443037974
519,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,,40.0,0.20454545454545456
520,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,,0.18974358974358974
521,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,45.0,0.20754716981132076
522,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,35.0,0.16129032258064516
523,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,40.0,0.19767441860465115
524,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,38.0,0.18032786885245902
525,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,,33.0,0.15384615384615385
526,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,10.0,,0.2
527,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,10.0,,0.19540229885057472
528,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,10.0,,0.15873015873015872
529,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,10.0,,0.2222222222222222
530,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,10.0,,0.18803418803418803
531,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,10.0,,0.15384615384615385
532,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,10.0,,0.2222222222222222
533,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,10.0,,0.18487394957983194
534,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,15.0,,0.16883116883116883
535,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,15.0,,0.16666666666666666
536,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,15.0,,0.16883116883116883
537,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,15.0,,0.16666666666666666
538,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,60.0,,0.20512820512820512
539,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,60.0,,0.20512820512820512
540,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,pit latrine without slab/open pit,,30.0,,0.35185185185185186
541,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,pit latrine without slab/open pit,,30.0,,0.35185185185185186
542,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,no,30.0,,0.25925925925925924
543,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,yes,30.0,,0.20588235294117646
544,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,no,,,30.0,,0.22950819672131148
545,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,no,30.0,,0.25925925925925924
546,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,yes,30.0,,0.20588235294117646
547,30-34,rural,,river/dam/lake/ponds/stream/canal/irrigation channel,,,,30.0,,0.22950819672131148
548,30-34,rural,,protected spring,no,,,,,0.2653061224489796
549,30-34,rural,,protected spring,,,,,,0.2653061224489796
550,30-34,rural,,public tap/standpipe,no,pit latrine without slab/open pit,,,,0.17105263157894737
551,30-34,rural,,public tap/standpipe,no,pit latrine without slab/open pit,yes,,,0.1836734693877551
552,30-34,rural,,public tap/standpipe,,pit latrine without slab/open pit,,,,0.17105263157894737
553,30-34,rural,,public tap/standpipe,,pit latrine without slab/open pit,yes,,,0.1836734693877551
554,30-34,rural,,public tap/standpipe,no,no facility/bush/field,,,,0.22784810126582278
555,30-34,rural,,public tap/standpipe,no,no facility/bush/field,yes,,,0.22950819672131148
556,30-34,rural,,public tap/standpipe,,no facility/bush/field,,,,0.22784810126582278
557,30-34,rural,,public tap/standpipe,,no facility/bush/field,yes,,,0.22950819672131148
558,30-34,rural,,public tap/standpipe,no,pit latrine with slab,,,,0.22
559,30-34,rural,,public tap/standpipe,,pit latrine with slab,,,,0.22
560,30-34,rural,,public tap/standpipe,no,ventilated improved pit latrine (vip),,,,0.26
561,30-34,rural,,public tap/standpipe,no,ventilated improved pit latrine (vip),yes,,,0.3225806451612903
562,30-34,rural,,public tap/standpipe,,ventilated improved pit latrine (vip),,,,0.2524271844660194
563,30-34,rural,,public tap/standpipe,,ventilated improved pit latrine (vip),yes,,,0.3076923076923077
564,30-34,rural,,public tap/standpipe,no,,no,,,0.18085106382978725
565,30-34,rural,,public tap/standpipe,no,,yes,,,0.24663677130044842
566,30-34,rural,,public tap/standpipe,no,,,,,0.22712933753943218
567,30-34,rural,,public tap/standpipe,,,no,,,0.18085106382978725
568,30-34,rural,,public tap/standpipe,,,yes,,,0.24336283185840707
569,30-34,rural,,public tap/standpipe,,,,,,0.225
570,30-34,rural,,public tap/standpipe,no,,,10.0,,0.3291139240506329
571,30-34,rural,,public tap/standpipe,no,,yes,10.0,,0.3620689655172414
572,30-34,rural,,public tap/standpipe,,,,10.0,,0.3170731707317073
573,30-34,rural,,public tap/standpipe,,,yes,10.0,,0.3442622950819672
574,30-34,rural,,public tap/standpipe,no,,,5.0,,0.1320754716981132
575,30-34,rural,,public tap/standpipe,,,,5.0,,0.1320754716981132
576,30-34,rural,,,no,pit latrine without slab/open pit,no,20.0,,0.19444444444444445
577,30-34,rural,,,no,pit latrine without slab/open pit,yes,20.0,,0.18571428571428572
578,30-34,rural,,,no,pit latrine without slab/open pit,,20.0,,0.19014084507042253
579,30-34,rural,,,,pit latrine without slab/open pit,no,20.0,,0.19444444444444445
580,30-34,rural,,,,pit latrine without slab/open pit,yes,20.0,,0.18571428571428572
581,30-34,rural,,,,pit latrine without slab/open pit,,20.0,,0.19014084507042253
582,30-34,rural,,,no,no facility/bush/field,no,20.0,,0.11475409836065574
583,30-34,rural,,,no,no facility/bush/field,yes,20.0,,0.23076923076923078
584,30-34,rural,,,no,no facility/bush/field,,20.0,,0.168141592920354
585,30-34,rural,,,,no facility/bush/field,no,20.0,,0.11475409836065574
586,30-34,rural,,,,no facility/bush/field,yes,20.0,,0.23076923076923078
587,30-34,rural,,,,no facility/bush/field,,20.0,,0.168141592920354
588,30-34,rural,,,no,pit latrine with slab,,20.0,,0.16326530612244897
589,30-34,rural,,,,pit latrine with slab,,20.0,,0.16326530612244897
