,Age in 5-year groups,Type of place of residence,Number of household members,Has electricity,under-5 mortality,Type of toilet facility,Has radio,Time to get to water source (minutes),Source of drinking water
84,20-24,urban,,no,0.13138686131386862,pit latrine with slab,yes,,
85,20-24,urban,,yes,0.09302325581395349,pit latrine with slab,,,
86,20-24,urban,,,0.1198501872659176,pit latrine with slab,,,
87,20-24,urban,,,0.13432835820895522,ventilated improved pit latrine (vip),,,
88,20-24,urban,,,0.17699115044247787,,,0.0,
89,20-24,urban,,,0.18947368421052632,,yes,0.0,
90,20-24,urban,,no,0.13297872340425532,,,,protected well
91,20-24,urban,,no,0.14893617021276595,,yes,,protected well
92,20-24,urban,,,0.12547528517110265,,,,protected well
93,20-24,urban,,,0.14215686274509803,,yes,,protected well
94,20-24,urban,,,0.09523809523809523,pit latrine with slab,,,protected well
95,20-24,urban,,,0.09803921568627451,pit latrine with slab,yes,,protected well
96,20-24,urban,,,0.15476190476190477,,,,public tap/standpipe
97,20-24,urban,,,0.1271186440677966,,yes,,public tap/standpipe
98,40-44,rural,,no,0.23655913978494625,pit latrine without slab/open pit,,,
99,40-44,rural,,,0.23655913978494625,pit latrine without slab/open pit,,,
100,40-44,rural,,no,0.21179624664879357,no facility/bush/field,,,
101,40-44,rural,,,0.21179624664879357,no facility/bush/field,,,
102,40-44,rural,,no,0.2264840182648402,,no,,
103,40-44,rural,,no,0.23271375464684016,,yes,,
104,40-44,rural,,no,0.22991803278688525,,,,
105,40-44,rural,,,0.2323008849557522,,yes,,
106,40-44,rural,,,0.22970216238270094,,,,
107,40-44,urban,,no,0.2102496714848883,,,,
108,40-44,urban,,no,0.22117202268431002,,yes,,
109,40-44,urban,,,0.20298769771529,,,,
110,40-44,urban,,,0.19953051643192488,,yes,,
111,40-44,urban,,,0.21705426356589147,pit latrine with slab,,,
112,25-29,rural,6.0,no,0.14326647564469913,,,,
113,25-29,rural,6.0,,0.14204545454545456,,,,
114,25-29,rural,,no,0.1758957654723127,,,20.0,
115,25-29,rural,,,0.17684887459807075,,,20.0,
116,25-29,rural,,no,0.16621253405994552,pit latrine without slab/open pit,no,,
117,25-29,rural,,no,0.18161925601750548,pit latrine without slab/open pit,yes,,
118,25-29,rural,,no,0.17475728155339806,pit latrine without slab/open pit,,,
119,25-29,rural,,,0.18161925601750548,pit latrine without slab/open pit,yes,,
120,25-29,rural,,,0.17475728155339806,pit latrine without slab/open pit,,,
121,25-29,rural,,no,0.14565826330532214,no facility/bush/field,no,,
122,25-29,rural,,no,0.17897727272727273,no facility/bush/field,yes,,
123,25-29,rural,,no,0.1622002820874471,no facility/bush/field,,,
124,25-29,rural,,,0.17897727272727273,no facility/bush/field,yes,,
125,25-29,rural,,,0.1622002820874471,no facility/bush/field,,,
126,25-29,rural,,no,0.17042606516290726,pit latrine with slab,,,
127,25-29,rural,,,0.16995073891625614,pit latrine with slab,,,
128,25-29,rural,,no,0.1510791366906475,ventilated improved pit latrine (vip),,,
129,25-29,rural,,,0.15296803652968036,ventilated improved pit latrine (vip),,,
130,25-29,rural,,no,0.16333938294010888,,no,,
131,25-29,rural,,no,0.17158385093167702,,yes,,
132,25-29,rural,,no,0.16778242677824268,,,,
133,25-29,rural,,,0.17039321511179645,,yes,,
134,25-29,rural,,,0.16769929781082196,,,,
135,25-29,rural,,no,0.2106537530266344,,,10.0,
136,25-29,rural,,,0.2106537530266344,,,10.0,
137,25-29,rural,,no,0.1644295302013423,,,30.0,
138,25-29,rural,,,0.1644295302013423,,,30.0,
139,25-29,rural,,no,0.1894093686354379,,,,unprotected spring
140,25-29,rural,,,0.1894093686354379,,,,unprotected spring
141,25-29,rural,,no,0.15841584158415842,,,,tube well or borehole
142,25-29,rural,,,0.15841584158415842,,,,tube well or borehole
143,25-29,rural,,no,0.13855421686746988,,,,protected well
